CAS-RN,SMILES,-log[LC50_mmol/L]
75-25-2,BrC(Br)Br,0.7400000000000002
598-16-3,BrC=C(Br)Br,1.33
60348-60-9,Brc1ccc(c(c1)Br)Oc1cc(Br)c(cc1Br)Br,4.019
5436-43-1,Brc1ccc(c(c1)Br)Oc1ccc(cc1Br)Br,3.723
101-55-3,Brc1ccc(cc1)Oc1ccccc1,2.979
11141-17-6,C/C=C(\C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)C(=O)OC)/C,3.064
4180-23-8,C/C=C/c1ccc(cc1)OC,4.337
77-73-6,C1=CC2C(C1)C1C=CC2C1,1.0999999999999996
110-83-8,C1CCC=CC1,0.9409999999999998
287-92-3,C1CCCC1,0.8090000000000002
110-82-7,C1CCCCC1,1.3399999999999999
110-89-4,C1CCCNC1,0.9300000000000002
121-29-9,C=C/C=C/CC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)/C=C(/C(=O)OC)\C,4.371
107-13-1,C=CC#N,0.7799999999999998
224452-66-8,C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(C(C1O)C)C2C(=O)CC3,1.112
100-42-5,C=Cc1ccccc1,0.5329999999999999
74-83-9,CBr,1.6319999999999997
26002-80-2,CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,4.693
67-64-1,CC(=O)C,-2.327
123-54-6,CC(=O)CC(=O)C,0.323
81-81-2,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,-0.044999999999999894
103-90-2,CC(=O)Nc1ccc(cc1)O,1.2160000000000002
104227-87-4,CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,-0.40700000000000003
5417-35-6,CC(C1OCC=CCO1)C,-0.7280000000000002
35723-83-2,CC(CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C)C,2.96
57157-80-9,CC(CCCCCCCCCCNCCCCCCCCCCC(C)C)C,3.537
29761-21-5,CC(CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1)C,4.1
13408-56-5,CC(CCC(C(C1CCC2(C1(C)CCC1C2=CC(=O)C2C1(C)CC(O)C(C2)O)O)(O)C)O)C,3.4240000000000004
15687-27-1,CC(Cc1ccc(cc1)C(C(=O)O)C)C,1.3550000000000004
67306-00-7,CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,2.721
67564-91-4,CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,2.1020000000000003
71-55-6,CC(Cl)(Cl)Cl,0.718
1717-00-6,CC(Cl)(Cl)F,0.577
2303-17-5,CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,3.458
108-18-9,CC(NC(C)C)C,-0.6480000000000001
3930-20-9,CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,-0.041999999999999836
5964-62-5,CC(c1cc(/N=N/c2ccc(cc2)S(=O)(=O)c2ccc(cc2)/N=N/c2cc(C(C)C)c(cc2C)O)c(cc1O)C)C,2.4400000000000004
79-94-7,CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,1.838
3547-04-4,CC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,3.8579999999999997
140-66-9,CC(c1ccc(cc1)O)(CC(C)(C)C)C,3.3600000000000003
80-05-7,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,1.3010000000000002
98-82-8,CC(c1ccccc1)C,0.7719999999999998
578-54-1,CCc1ccccc1N,1.1790000000000003
78-59-1,CC1=CC(=O)CC(C1)(C)C,0.06099999999999994
99-86-5,CC1=CC=C(CC1)C(C)C,1.867
5989-27-5,CC1=CCC(CC1)C(=C)C,2.373
80-56-8,CC1=CCC2CC1C2(C)C,0.5219999999999998
75-07-0,CC=O,-2.45
709-98-8,CCC(=O)Nc1ccc(c(c1)Cl)Cl,1.7140000000000004
79-09-4,CCC(=O)O,0.16999999999999996
149-31-5,CCC(C(CO)C)O,-1.78
78-99-9,CCC(Cl)Cl,0.6309999999999998
40487-42-1,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,0.7250000000000001
88-85-7,CCC(c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,3.0
3766-81-2,CCC(c1ccccc1OC(=O)NC)C,3.3200000000000003
50-06-6,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-0.7989999999999999
123-38-6,CCC=O,-0.18500000000000003
37517-30-9,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,0.819
107-92-6,CCCC(=O)O,0.16000000000000017
60207-90-1,CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,1.7199999999999998
51333-22-3,CCCC1OC2C(O1)(C(=O)CO)C1(C(C2)C2CCC3=CC(=O)C=CC3(C2C(C1)O)C)C,1.3330000000000002
109-66-0,CCCCC,0.8700000000000001
109-52-4,CCCCC(=O)O,0.3580000000000001
149-57-5,CCCCC(C(=O)O)CC,0.08000000000000007
104-76-7,CCCCC(CO)CC,0.1150000000000002
103-23-1,CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,2.7489999999999997
117-81-7,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,1.5499999999999998
1241-94-7,CCCCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CC,3.383
110-54-3,CCCCCC,1.3399999999999999
96829-58-2,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,1.8499999999999996
104-40-5,CCCCCCCCCc1ccc(cc1)O,3.064
1806-26-4,CCCCCCCCc1ccc(cc1)O,3.3600000000000003
26530-20-1,CCCCCCCCn1sccc1=O,3.074
111-70-6,CCCCCCCO,0.22599999999999995
154361-50-9,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,-0.3740000000000001
1114-71-2,CCCCN(C(=O)SCCC)CC,1.4740000000000002
592-82-5,CCCCN=C=S,2.4290000000000003
55406-53-6,CCCCNC(=O)OCC#CI,3.848
1516-32-1,CCCCNC(=S)N,0.8500000000000001
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.8780000000000001
85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,2.1900000000000004
142-96-1,CCCCOCCCC,0.7000000000000002
51-03-6,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,2.2910000000000004
2528-36-1,CCCCOP(=O)(Oc1ccccc1)OCCCC,3.042
104-51-8,CCCCc1ccccc1,2.548
759-94-4,CCCN(C(=O)SCC)CCC,1.6079999999999997
2556-42-5,CCCN(C(=S)SSC(=S)N(CCC)CCC)CCC,3.1879999999999997
1582-09-8,CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC,3.24
71-23-8,CCCO,-2.065
24579-73-5,CCCOC(=O)NCCCN(C)C,0.25
107-03-9,CCCS,3.1020000000000003
13194-48-4,CCCSP(=O)(SCCC)OCC,3.5789999999999997
54965-21-8,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,4.044
29232-93-7,CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,6.140000000000001
542-85-8,CCN=C=S,2.308
105-55-5,CCNC(=S)NCC,-0.16199999999999992
2741-06-2,CCNC(=S)Nc1ccccc1,0.351
122-34-9,CCNc1nc(NCC)nc(n1)Cl,0.33099999999999996
21725-46-2,CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,3.447
64-17-5,CCO,-2.41
77501-63-4,CCOC(=O)C(OC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)C(F)(F)F)C,2.0300000000000002
105-37-3,CCOC(=O)CC,-0.17300000000000004
105-53-3,CCOC(=O)CC(=O)OCC,-0.10099999999999999
121-75-5,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,5.349
84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,0.6030000000000001
20485-39-6,CCOC(=O)c1ocnc1C,-0.3319999999999999
60-29-7,CCOCC,-1.27
311-45-5,CCOP(=O)(Oc1ccc(cc1)[N+](=O)[O-])OCC,6.141
786-19-6,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,3.442
333-41-5,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,5.564
56-38-2,CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,5.15
2921-88-2,CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,5.849
13071-79-9,CCOP(=S)(SCSC(C)(C)C)OCC,5.207000000000001
59-06-3,CCOc1cc(ccc1C(=O)OC)NC(=O)C,0.07200000000000006
91-53-2,CCOc1ccc2c(c1)C(=CC(N2)(C)C)C,2.0359999999999996
944-22-9,CCP(=S)(Sc1ccccc1)OCC,4.483
75-08-1,CCS,2.5620000000000003
2212-67-1,CCSC(=O)N1CCCCCC1,1.4370000000000003
298-02-2,CCSCSP(=S)(OCC)OCC,4.128
114-07-8,CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)O,0.27700000000000014
83905-01-5,CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(CN(C(C(C1(C)O)O)C)C)C)(C)O,0.7949999999999999
81103-11-9,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(C(O2)C)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)OC,1.6020000000000003
112410-23-8,CCc1ccc(cc1)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,1.3070000000000004
589-16-2,CCc1ccc(cc1)N,3.13
104-90-5,CCc1ccc(nc1)C,0.4809999999999998
58-14-0,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,1.6319999999999997
98079-51-7,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,0.432
632-22-4,CN(C(=O)N(C)C)C,-1.399
23103-98-2,CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,4.037
2782-91-4,CN(C(=S)N(C)C)C,-0.7679999999999998
6972-05-0,CN(C(=S)N)C,0.3919999999999999
97-74-5,CN(C(=S)SC(=S)N(C)C)C,1.8579999999999997
137-26-8,CN(C(=S)SSC(=S)N(C)C)C,3.059
15263-53-3,CN(C(CSC(=O)N)CSC(=O)N)C,4.378
680-31-9,CN(P(=O)(N(C)C)N(C)C)C,-1.57
57-62-5,CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)c(Cl)ccc2O)O)O)C,0.5729999999999998
60-54-8,CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)cccc2O)O)O)C,3.4299999999999997
121-69-7,CN(c1ccccc1)C,1.3849999999999998
4104-75-0,CN(c1ccccc1)C(=S)N,0.298
66357-35-5,CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,-0.31499999999999995
54-11-5,CN1CCCC1c1cccnc1,1.7329999999999997
82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O,0.6739999999999999
533-74-4,CN1CN(C)CSC1=S,2.4699999999999998
6923-22-4,CNC(=O)/C=C(/OP(=O)(OC)OC)\C,2.76
60-51-5,CNC(=O)CSP(=S)(OC)OC,2.13
23135-22-0,CNC(=O)O/N=C(/C(=O)N(C)C)\SC,2.12
1646-88-4,CNC(=O)O/N=C/C(S(=O)(=O)C)(C)C,2.9000000000000004
116-06-3,CNC(=O)O/N=C/C(SC)(C)C,2.551
1563-66-2,CNC(=O)Oc1cccc2c1OC(C2)(C)C,3.5199999999999996
22781-23-3,CNC(=O)Oc1cccc2c1OC(O2)(C)C,3.883
63-25-2,CNC(=O)Oc1cccc2c1cccc2,2.942
598-52-7,CNC(=S)N,0.9790000000000001
2489-77-2,CNC(=S)N(C)C,-0.8119999999999998
103628-48-4,CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,0.008000000000000018
100-61-8,CNc1ccccc1,2.79
67-56-1,CO,-2.011
141517-21-7,CO/N=C(\c1ccccc1CO/N=C(/c1cccc(c1)C(F)(F)F)\C)/C(=O)OC,2.742
175013-18-0,COC(=O)N(c1ccccc1COc1ccn(n1)c1ccc(cc1)Cl)OC,3.7560000000000002
23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.33
13684-63-4,COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,1.6520000000000001
131-11-3,COC(=O)c1ccccc1C(=O)OC,0.77
