SID,SMILES,-log10(Carcinogenicity-Rat_(TD50) [mmol/kg-bw/day])
48413129,CC=O,-0.5403294747908738
48413132,CC(=O)N,-0.4842998393467858
48413133,CC(=O)NC1=CC=C(C=C1)O,-0.5145477526602861
48413135,CC(=NNC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-])C,1.6439741428068773
48413137,CC(=NO)C,0.7798919119599449
48413138,CC(=O)OC(C=C)C1=CC2=C(C=C1)OCO2,0.9430951486635274
48413143,CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2,2.252588192113577
48413145,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,2.2628073572952627
48413153,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C,2.8041003475907664
48413154,C=CC(=O)N,1.2773660774661877
48413156,C=CC#N,0.4975728800155673
48413158,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,6.053547734986927
48413160,C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N,0.9281179926938746
48413161,COC1=C2C3=C(C(CC3)O)C(=O)OC2=C4C5C=COC5OC4=C1,5.104577453960593
48413162,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,4.991399828238082
48413174,C=CCN=C=S,0.014124642691606343
48413175,CC(C)CC(=O)OCC=C,0.06298389253518578
48413176,C=CCN(C(=O)N)N=O,2.578396073130169
48413179,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N,0.9172146296835499
48413181,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl,0.6345120151091003
48413183,C1=C(N=C(S1)N=C(N)N)CSCCNC2=NSN=C2N,-1.1789769472931695
48413184,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,0.6020599913279624
48413185,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(O2)N,1.728158393463501
48413186,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,2.505845405981557
48413187,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N,1.5575202309355514
48413189,C1=CC(=C(C=C1[N+](=O)[O-])N)O,-0.7355988996981799
48413190,C1=CC(=C(C=C1[N+](=O)[O-])O)N,0.14266750356873156
48413191,C1=CC(=C(C=C1N)[N+](=O)[O-])O,-0.3010299956639812
48413193,C1=C(SC(=N1)N)[N+](=O)[O-],0.5128616245228135
48413195,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,0.3448615651886179
48413196,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,1.747146969020107
48413199,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl,2.322393047279507
48413201,C1CCC(CC1)(CC(=O)O)CN,-1.534026106056135
48413203,C1=NNC(=N1)N,0.9281179926938746
48413204,C(CCCCCN)CCCCC(=O)O,-0.7371926427047373
48413211,CCCCCN(C(=O)N)N=O,2.4571745730408203
48413218,C1=CC=C(C=C1)N.Cl,-0.31806333496276157
48413219,COC1=CC=CC=C1N.Cl,0.7304870557820837
