SID,SMILES,Carcinogenicity-Rodents
48413127,C1=CC=C2C(=C1)C3=C(N2)N=C(C=C3)N,carcinogenic
48413128,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],non-carcinogenic
48413129,CC=O,carcinogenic
48413130,CC=NN(C)C=O,carcinogenic
48413132,CC(=O)N,carcinogenic
48413133,CC(=O)NC1=CC=C(C=C1)O,carcinogenic
48413134,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,non-carcinogenic
48413136,CC#N,non-carcinogenic
48413139,CC(=O)NNC1=CC=C(C=C1)CO,carcinogenic
48413140,CC(=O)NNC(=O)C1=CC=NC=C1,carcinogenic
48413141,CC1=CC(=O)C(C(=O)O1)C(=O)C,non-carcinogenic
48413142,CC(=O)NNC1=CC=CC=C1,carcinogenic
48413145,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,carcinogenic
48413147,CC(=O)NC1=CC=C(C=C1)CC(=O)O,non-carcinogenic
48413149,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,carcinogenic
48413150,C=CC=O,non-carcinogenic
48413151,CCOC(C=C)OCC,non-carcinogenic
48413152,C=CC=NO,non-carcinogenic
48413153,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C,carcinogenic
48413154,C=CC(=O)N,carcinogenic
48413155,C=CC(=O)O,non-carcinogenic
48413156,C=CC#N,carcinogenic
48413158,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,carcinogenic
48413159,C(CCC(=O)N)CC(=O)N,non-carcinogenic
48413160,C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N,carcinogenic
48413162,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,carcinogenic
48413163,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,carcinogenic
48413165,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,non-carcinogenic
48413166,CC(C)(C=NOC(=O)NC)SC,non-carcinogenic
48413168,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],non-carcinogenic
48413169,CCCCCCCCCC[N+](C)(C)[O-],non-carcinogenic
48413170,C1(C(=O)NC(=O)N1)NC(=O)N,non-carcinogenic
48413171,C=CCO,non-carcinogenic
48413172,C=CCCl,non-carcinogenic
48413175,CC(C)CC(=O)OCC=C,carcinogenic
48413176,C=CCN(C(=O)N)N=O,carcinogenic
48413177,C=CCNN.Cl,carcinogenic
48413178,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],non-carcinogenic
48413179,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N,carcinogenic
48413181,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl,carcinogenic
48413182,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31,carcinogenic
48413183,C1=C(N=C(S1)N=C(N)N)CSCCNC2=NSN=C2N,carcinogenic
48413184,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,carcinogenic
48413185,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(O2)N,carcinogenic
48413186,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,carcinogenic
48413187,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N,carcinogenic
