Canonical SMILES,Mutagenicity
O=C1c2ccccc2C(=O)c2c1c1[nH]c3c(c1c1c2[nH]c2c1ccc1c2C(=O)c2ccccc2C1=O)ccc1c3C(=O)c2ccccc2C1=O,non-mutagenic
NNC(=O)CNC(=O)/C=N#N,mutagenic
N1C(=O)/C(=N#N)/C=NC1=O,mutagenic
NC(=O)CNC(=O)/C=N#N,mutagenic
CCCCN(CC(C1=C/C(=N#N)/C(=O)C=C1)O)N=O,mutagenic
NC(C(=O)O)COC(=O)/C=N#N,mutagenic
CCN(CC(C1=CC(=O)/C(=N#N)/C=C1)O)N=O,mutagenic
O=C1OCC2(C(=C1)C(=CC1C2CCC2(C1CCC2(OC(=O)C)C(=O)C)C)Cl)C,non-mutagenic
Nc1nc(N)nc(n1)N,non-mutagenic
Cc1ccc(c(c1)[N+](=O)[O-])N=Nc1c(O)ccc2c1cccc2,mutagenic
CC(CC(=O)Nc1snc2c1cccc2)C,non-mutagenic
[O-][N+](=O)c1cccc(c1C)C,mutagenic
CCCCCCC(=O)OC1(C#C)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12,non-mutagenic
[O-][N+](=O)CCC,non-mutagenic
OC(=O)c1cc(cc2c1nccc2)[N+](=O)[O-],mutagenic
OC1C=Cc2c(C1O)ccc1c2cc2ccccc2c1Br,mutagenic
NC(=O)Nc1nc2c([nH]1)cccc2,mutagenic
C[C@H](CCC(=O)c1cocc1)O,non-mutagenic
Nc1ccc2c(c1)oc1c2cccc1,mutagenic
Cc1ccc2c(c1)c1cc(C)ccc1cc2,mutagenic
Cc1cc2c(c3c1nc(cn3)c1ccccc1)nc(n2C)N,mutagenic
CCN(/C(=N/O)/C=O)N=O,mutagenic
NNc1nnc(c2c1cccc2)NN,mutagenic
C=CC(=O)NCNC(=O)C=C,mutagenic
OCc1cc2cccc3-c4c(-c(c1)c23)cccc4,non-mutagenic
Cc1ccccc1c1ccccc1,non-mutagenic
Cc1cc(O)c2c(c1)C(=O)C13C4(C2=O)C(=O)C2C(C1C1C(C3C(=O)C34C(=O)c4c(O)cc(cc4C(=O)C213)C)C)C,non-mutagenic
Cc1nc(N)nc(n1)N,non-mutagenic
CCNc1nc(N)nc(n1)Cl,non-mutagenic
C1CCC(CC1)N1C2C1c1ccccc1-c1c2cccc1,mutagenic
CCCCB(CCCC)CCCC,mutagenic
CC(=O)NC(C(=O)O)CSC(=C(Cl)Cl)Cl,mutagenic
C[C@H]1CC[C@@H]2[C@@H](C1)[C@@H](CC[C@@H]2C)C(C)C,mutagenic
CCNN=NCC,mutagenic
Oc1cccc(c1)[N+](=O)[O-],mutagenic
[O-][N+](=O)c1ccc2-c3c4c(-c2c1)cccc4ccc3,mutagenic
OCc1ccco1,non-mutagenic
c1ccc(cc1)c1ccc(cc1)CC[C@@H]1OC1,mutagenic
Oc1cc2c(c3c1cccc3)ccc1c2cccc1,mutagenic
Oc1ccc2c(c1N=Nc1ccccc1)cccc2,mutagenic
N[C@@H]1CC[C@H](CC1)C[C@@H]1CC[C@H](CC1)N,non-mutagenic
COC(=O)C12CC2(C=O)C(=CC2C1CC(C2)(C)C)C=O,mutagenic
CCOC(=O)C(Br)C,mutagenic
COC1(CCCC1)OC1CCC2C1(C)CCC1C2CCC2C1(C)CC1SC1C2,non-mutagenic
ClCCN(CCCNc1c2CCCCc2nc2c1cccc2)CC,mutagenic
OCCC1(O)NC(=O)C2(C1O2)C(=O)/C(=C/C=C/C(=C/C(=C/C1=CCOC1=O)/C)/C)/C,mutagenic
CC[P@](=S)(Sc1ccccc1)OCC,non-mutagenic
Nc1ccc(c(c1)N)[N+](=O)[O-],mutagenic
CCSCCSP(=O)(OC)OC,non-mutagenic
OC(=O)c1ccccc1C,non-mutagenic
CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,mutagenic
Brc1ccccc1,non-mutagenic
Cc1cc(N)c(cc1Cl)S(=O)(=O)O,non-mutagenic
Oc1ccc2c(c1)ccc(c2)SSc1ccc2c(c1)ccc(c2)O,non-mutagenic
CN(CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O)C,mutagenic
Clc1cc(Cl)c2c(c1)c(N)sn2,mutagenic
ClCC1(C(Cl)Cl)C2CC(C1(CC2(Cl)Cl)C(Cl)Cl)(Cl)Cl,non-mutagenic
Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1c1c(O)cc(c2c1C(=O)c1cc(C)cc(c1C2=O)O)O)O,non-mutagenic
COCCl,non-mutagenic
O=NN1CCOCC1,mutagenic
Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N,mutagenic
Nc1ccc(cc1)Nc1ccccc1,non-mutagenic
CCCCCOC(=O)C(=C)C,non-mutagenic
OC(=O)c1ccccc1,non-mutagenic
[O-][N+](=O)c1ccc(cc1)Cn1cnc2c1ncnc2N,mutagenic
c1cc2Cc3c4c2c(c1)ccc4ccc3,mutagenic
Fc1ccccc1c1ccccc1,non-mutagenic
Clc1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)Cl,non-mutagenic
CC(=CCc1ccc(c2c1oc1cc3OC4C(c3c(c1c2=O)O)(O)C=CO4)O)C,mutagenic
CC1COCc2c1cc1c(c2)C(C(C1(C)C)C)(C)C,non-mutagenic
OC(=O)CSc1nc(cc(n1)Cl)Nc1cccc(c1C)C,non-mutagenic
Nc1ccc2c(c1N=Nc1ccc(cc1)[N+](=O)[O-])cccc2,mutagenic
OCC(=O)C1(O)CC(OC2CC(N)C(C(O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,mutagenic
Oc1ccc(cc1)Cc1ccccc1O,non-mutagenic
CC(OC)CCO,non-mutagenic
CC(=O)N(c1ccc(cc1)Oc1ccccc1)O,mutagenic
OP(Oc1ccc(cc1)C(c1ccc(cc1)OP(O)O)(C)C)O,non-mutagenic
CCCCCCCC(=O)Cl,mutagenic
BrC(C(C)(C)C)C(=O)Nc1ccccc1,non-mutagenic
CCN(CCNc1ccc2c3c1c(=O)c1cc(O)ccc1n3c(n2)C)CC,mutagenic
[O-][N+](=O)c1cnc(s1)NC(=O)NCC,mutagenic
COc1ccc(c2c1oc1c3c(O[C@H]4[C@H]3C=CO4)cc(c1c2=O)OC)O,mutagenic
Clc1cc2Oc3cc([N+](=O)[O-])c(cc3Oc2cc1Cl)Cl,mutagenic
COC(=O)C(=C)C,non-mutagenic
