ID,SMILES,Mutagenicity
2475-33-4,O=C1c2ccccc2C(=O)c3c1ccc4c3[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c%10C(=O)c%11ccccc%11C(=O)c%10ccc9c8c45,non-mutagenic
820-75-7,NNC(=O)CNC(=O)\C=N\#N,mutagenic
2435-76-9,O=C1NC(=O)\C(=N/#N)\C=N1,mutagenic
817-99-2,NC(=O)CNC(=O)\C=N\#N,mutagenic
116539-70-9,CCCCN(CC(O)C1=C\C(=N/#N)\C(=O)C=C1)N=O,mutagenic
115-02-6,NC(COC(=O)\C=N/#N)C(=O)O,mutagenic
122341-55-3,CCN(CC(O)C1=CC(=O)\C(=N\#N)\C=C1)N=O,mutagenic
105149-00-6,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C,non-mutagenic
108-78-1,Nc1nc(N)nc(N)n1,non-mutagenic
2425-85-6,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-],mutagenic
67019-24-3,CC(C)CC(=O)Nc1snc2ccccc12,non-mutagenic
83-41-0,Cc1cccc(c1C)[N+](=O)[O-],mutagenic
3836-23-5,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,non-mutagenic
108-03-2,CCC[N+](=O)[O-],non-mutagenic
70585-52-3,OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-],mutagenic
87425-68-1,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,mutagenic
24370-25-0,NC(=O)Nc1nc2ccccc2[nH]1,mutagenic
NOCAS_M453,C[C@@H](O)CCC(=O)c1cocc1,non-mutagenic
4106-66-5,Nc1ccc2c(oc3ccccc23)c1,mutagenic
1576-67-6,Cc1ccc2ccc3ccc(C)cc3c2c1,mutagenic
146177-65-3,Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4,mutagenic
112380-29-7,CCN(N=O)\C(=N\O)\C=O,mutagenic
484-23-1,NNc1nnc(NN)c2ccccc12,mutagenic
110-26-9,C=CC(=O)NCNC(=O)C=C,mutagenic
88020-91-1,OCc1cc2c3ccccc3c4cccc(c1)c24,non-mutagenic
28652-72-4,Cc1ccccc1c2ccccc2,non-mutagenic
67278-88-0,CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C68C(=O)c9c(O)cc(C)cc9C(=O)C248,non-mutagenic
542-02-9,Cc1nc(N)nc(N)n1,non-mutagenic
1007-28-9,CCNc1nc(N)nc(Cl)n1,non-mutagenic
64188-65-4,C1CCC(CC1)N2C3C2c4ccccc4c5ccccc35,mutagenic
122-56-5,CCCCB(CCCC)CCCC,mutagenic
111348-61-9,CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O,mutagenic
29350-73-0,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,mutagenic
63980-20-1,CCNN=NCC,mutagenic
554-84-7,Oc1cccc(c1)[N+](=O)[O-],mutagenic
13177-32-7,[O-][N+](=O)c1ccc2c(c1)c3cccc4cccc2c34,mutagenic
98-00-0,OCc1occc1,non-mutagenic
NOCAS_M204,C(Cc1ccc(cc1)c2ccccc2)[C@H]3CO3,mutagenic
37515-51-8,Oc1cc2c3ccccc3ccc2c4ccccc14,mutagenic
842-07-9,Oc1ccc2ccccc2c1N=Nc3ccccc3,mutagenic
